review_id,listing_id,user_id,review_text,sentiment_score,phrase_sentiments,sentiment_label
R00011,L0002,U0128,Fantastic place for a romantic getaway. The Iron was a highlight and the neighborhood felt very safe.,0.5335571428571428,"[('The Iron', 0.0), ('Fantastic place for a romantic getaway.', 0.743), ('Fantastic place', 0.5574), ('the neighborhood', 0.0), ('The Iron was a highlight and the neighborhood felt very safe.', 0.6801), ('a highlight', 0.34), ('a romantic getaway', 0.4019)]",positive
R00012,L0002,U0037,Couldn't have asked for a better stay. The Iron was perfect and Chinatown was right around the corner.,0.41134230769230773,"[('The Iron', 0.0), ('a better stay', 0.4404), ('the corner', 0.0), ('Chinatown', 0.0), ('The Iron was perfect and Chinatown was right around the corner.', 0.5719), (""Couldn't have asked for a better stay."", 0.4404)]",positive
R00013,L0003,U0222,This was our second time booking this place and it was just as great. Love the Park Slope area.,0.39777,"[('This was our second time booking this place and it was just as great.', 0.6249), ('Love the Park Slope area.', 0.6369), ('our second time', 0.0), ('this place', 0.0), ('the Park Slope area', 0.0), ('it', 0.0), ('This', 0.0)]",positive
R00014,L0003,U0222,Location is convenient but the apartment felt a bit dated. Park Slope has great restaurants though which made up for it.,0.27079,"[('great restaurants', 0.6249), ('which', 0.0), ('Park Slope has great restaurants though which made up for it.', 0.6249), ('it', 0.0), ('Park Slope', 0.0), ('Location is convenient but the apartment felt a bit dated.', 0.0), ('the apartment', 0.0), ('Location', 0.0)]",positive
R00015,L0003,U0222,The space was immaculate and the location is unbeatable. Easy access to Rockefeller Center and great local dining.,0.34037586206896553,"[('great local dining', 0.6249), ('The space', 0.0), ('Easy access to Rockefeller Center and great local dining.', 0.7906), ('Rockefeller Center', 0.0), ('The space was immaculate and the location is unbeatable.', 0.0), ('Easy access', 0.4404), ('the location', 0.0)]",positive
R00016,L0003,U0222,The space was immaculate and the location is unbeatable. Easy access to Rockefeller Center and great local dining.,0.34037586206896553,"[('great local dining', 0.6249), ('The space', 0.0), ('Easy access to Rockefeller Center and great local dining.', 0.7906), ('Rockefeller Center', 0.0), ('The space was immaculate and the location is unbeatable.', 0.0), ('Easy access', 0.4404), ('the location', 0.0)]",positive
R00017,L0004,U0026,Perfect for our leisure trip. Close to Perez Art Museum and the host was incredibly responsive. Highly recommend.,0.3200307692307692,"[('the host', 0.0), ('Perfect for our leisure trip.', 0.5719), ('Perez Art Museum', 0.0), ('our leisure trip', 0.0), ('Highly recommend.', 0.4201), ('Close to Perez Art Museum and the host was incredibly responsive.', 0.4201)]",positive
R00018,L0004,U0097,The space was immaculate and the location is unbeatable. Easy access to Perez Art Museum and great local dining.,0.34391935483870967,"[('great local dining', 0.6249), ('The space', 0.0), ('Perez Art Museum', 0.0), ('The space was immaculate and the location is unbeatable.', 0.0), ('Easy access to Perez Art Museum and great local dining.', 0.7906), ('Easy access', 0.4404), ('the location', 0.0)]",positive
R00019,L0004,U0020,Couldn't have asked for a better stay. The Dryer was perfect and Perez Art Museum was right around the corner.,0.3946233333333334,"[('a better stay', 0.4404), ('the corner', 0.0), ('Perez Art Museum', 0.0), ('The Dryer was perfect and Perez Art Museum was right around the corner.', 0.5719), ('The Dryer', 0.0), (""Couldn't have asked for a better stay."", 0.4404)]",positive
R00020,L0005,U0074,Spacious and well-maintained. Walking distance to Fullerton L and several great restaurants. Highly recommend for anyone visiting Chicago.,0.5017846153846154,"[('Chicago', 0.0), ('several great restaurants', 0.6249), ('Walking distance to Fullerton L and several great restaurants.', 0.8331), ('Spacious and well-maintained.', 0.0), ('anyone', 0.0), ('Fullerton L', 0.5766), ('distance', 0.0), ('Highly recommend for anyone visiting Chicago.', 0.4201)]",positive
R00021,L0005,U0104,"Great location, just 13 minutes from Fullerton L. The TV was a huge plus. Would definitely stay here again!",0.3930965517241379,"[('Would definitely stay here again!', 0.4574), ('The TV', 0.0), ('Great location, just 13 minutes from Fullerton L.', 0.6249), ('Great location', 0.6249), ('a huge plus', 0.3182), ('just 13 minutes', 0.0), ('The TV was a huge plus.', 0.3182)]",positive
R00022,L0005,U0104,One of the best Airbnbs we have stayed at. The location near Fullerton L made getting around so easy.,0.6281111111111111,"[('The location near Fullerton L made getting around so easy.', 0.8163), ('The location', 0.0), ('Fullerton L', 0.5766), ('One of the best Airbnbs we have stayed at.', 0.6369), ('the best Airbnbs', 0.6369), ('we', 0.0)]",positive
R00023,L0005,U0074,The TV was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.,0.2573212121212121,"[('The TV', 0.0), ('Neighborhood', 0.0), ('some work', 0.0), ('a plus', 0.0), ('which', 0.0), ('The TV was great but the bathroom could use some work.', 0.3716), ('Neighborhood is lively which is a plus and a minus.', 0.4404), ('a minus', 0.0), ('the bathroom', 0.0)]",positive
R00024,L0005,U0074,Loved this place! The neighborhood (Lakeview) was vibrant and walkable. TV made the stay so comfortable.,0.39357083333333326,"[('TV', 0.0), ('this place', 0.0), ('The neighborhood', 0.0), ('Lakeview', 0.0), ('The neighborhood (Lakeview) was vibrant and walkable.', 0.5267), ('Loved this place!', 0.636), ('the stay', 0.0), ('TV made the stay so comfortable.', 0.6418)]",positive
R00025,L0005,U0104,The TV was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.,0.2573212121212121,"[('The TV', 0.0), ('Neighborhood', 0.0), ('some work', 0.0), ('a plus', 0.0), ('which', 0.0), ('The TV was great but the bathroom could use some work.', 0.3716), ('Neighborhood is lively which is a plus and a minus.', 0.4404), ('a minus', 0.0), ('the bathroom', 0.0)]",positive
R00026,L0005,U0104,This was our second time booking this place and it was just as great. Love the Lakeview area.,0.40343571428571423,"[('This was our second time booking this place and it was just as great.', 0.6249), ('our second time', 0.0), ('this place', 0.0), ('the Lakeview area', 0.0), ('it', 0.0), ('This', 0.0), ('Love the Lakeview area.', 0.6369)]",positive
R00027,L0006,U0060,Had issues with cleanliness. Found the kitchen poorly stocked and the Carbon monoxide alarm was not working properly.,-0.23538461538461541,"[('the Carbon monoxide alarm', -0.34), ('the kitchen', 0.0), ('cleanliness', 0.0), ('Found the kitchen poorly stocked and the Carbon monoxide alarm was not working properly.', -0.34), ('Had issues with cleanliness.', 0.0), ('issues', 0.0)]",negative
R00028,L0006,U0163,This was our second time booking this place and it was just as great. Love the Wicker Park area.,0.39777,"[('This was our second time booking this place and it was just as great.', 0.6249), ('our second time', 0.0), ('this place', 0.0), ('it', 0.0), ('This', 0.0), ('the Wicker Park area', 0.0), ('Love the Wicker Park area.', 0.6369)]",positive
R00029,L0006,U0163,Good location near Roosevelt L but the apartment was smaller than expected. The Carbon monoxide alarm was nice though.,0.26043103448275856,"[('Roosevelt L', 0.5766), ('Good location', 0.4404), ('The Carbon monoxide alarm', -0.34), ('The Carbon monoxide alarm was nice though.', 0.1027), ('the apartment', 0.0), ('Good location near Roosevelt L but the apartment was smaller than expected.', 0.5133)]",positive
R00030,L0006,U0163,Pretty good overall. Close to Roosevelt L which was essential. Would have liked more kitchen supplies.,0.4499590909090909,"[('Roosevelt L', 0.5766), ('more kitchen supplies', 0.0), ('which', 0.0), ('Pretty good overall.', 0.7269), ('Close to Roosevelt L which was essential.', 0.5766), ('Would have liked more kitchen supplies.', 0.4215)]",positive
R00031,L0007,U0224,Decent stay overall. Harlem is a great area but the listing could use some updating. Still decent value.,0.2887551724137931,"[('a great area', 0.6249), ('Decent stay overall.', 0.0), ('Still decent value.', 0.34), ('the listing', 0.0), ('Harlem is a great area but the listing could use some updating.', 0.3716), ('Still decent value', 0.34), ('Harlem', 0.0), ('some updating', 0.0)]",positive
R00032,L0007,U0224,Disappointing stay. The listing photos made it look much bigger than it actually is. Far from Central Park.,-0.07598461538461539,"[('The listing photos', 0.0), ('Disappointing stay.', -0.4939), ('Far from Central Park.', 0.0), ('The listing photos made it look much bigger than it actually is.', 0.0), ('it', 0.0), ('Disappointing stay', -0.4939), ('Central Park', 0.0)]",negative
R00033,L0007,U0224,Good location near Columbus Circle but the apartment was smaller than expected. The Kitchen was nice though.,0.23386800000000002,"[('Good location', 0.4404), ('The Kitchen was nice though.', 0.4215), ('The Kitchen', 0.0), ('Good location near Columbus Circle but the apartment was smaller than expected.', 0.2382), ('Columbus Circle', 0.0), ('the apartment', 0.0)]",positive
R00034,L0007,U0224,The neighborhood (Harlem) did not feel safe at night. Would not recommend for families.,-0.23412105263157898,"[('Would not recommend for families.', -0.2755), ('night', 0.0), ('The neighborhood', 0.0), ('families', 0.0), ('The neighborhood (Harlem) did not feel safe at night.', -0.3412), ('Harlem', 0.0)]",negative
R00035,L0007,U0224,Loved this place! The neighborhood (Harlem) was vibrant and walkable. Kitchen made the stay so comfortable.,0.39357083333333337,"[('Kitchen made the stay so comfortable.', 0.6418), ('this place', 0.0), ('The neighborhood', 0.0), ('Kitchen', 0.0), ('The neighborhood (Harlem) was vibrant and walkable.', 0.5267), ('Loved this place!', 0.636), ('Harlem', 0.0), ('the stay', 0.0)]",positive
R00036,L0007,U0224,Pretty good overall. Close to Columbus Circle which was essential. Would have liked more kitchen supplies.,0.21407727272727273,"[('more kitchen supplies', 0.0), ('which', 0.0), ('Pretty good overall.', 0.7269), ('Columbus Circle', 0.0), ('Close to Columbus Circle which was essential.', 0.0), ('Would have liked more kitchen supplies.', 0.4215)]",positive
R00037,L0007,U0224,One of the best Airbnbs we have stayed at. The location near Columbus Circle made getting around so easy.,0.49702962962962965,"[('The location', 0.0), ('The location near Columbus Circle made getting around so easy.', 0.5777), ('One of the best Airbnbs we have stayed at.', 0.6369), ('Columbus Circle', 0.0), ('the best Airbnbs', 0.6369), ('we', 0.0)]",positive
R00038,L0008,U0097,Amazing stay! We could walk to Fenway Park in under 15 minutes. The apartment had everything we needed.,0.08343448275862068,"[('The apartment had everything we needed.', 0.0), ('We could walk to Fenway Park in under 15 minutes.', 0.0), ('Fenway Park', 0.0), ('Amazing stay', 0.5859), ('everything', 0.0), ('The apartment', 0.0), ('Amazing stay!', 0.6239), ('we', 0.0), ('We', 0.0), ('15 minutes', 0.0)]",positive
R00039,L0008,U0200,Perfect for our group trip. Close to Fenway Park and the host was incredibly responsive. Highly recommend.,0.3291958333333333,"[('Close to Fenway Park and the host was incredibly responsive.', 0.4201), ('the host', 0.0), ('Fenway Park', 0.0), ('Highly recommend.', 0.4201), ('Perfect for our group trip.', 0.5719), ('our group trip', 0.0)]",positive
R00040,L0008,U0200,Decent stay overall. Fenway-Kenmore is a great area but the listing could use some updating. Still decent value.,0.2887551724137931,"[('Kenmore', 0.0), ('a great area', 0.6249), ('Decent stay overall.', 0.0), ('Still decent value.', 0.34), ('Fenway-Kenmore is a great area but the listing could use some updating.', 0.3716), ('the listing', 0.0), ('Still decent value', 0.34), ('some updating', 0.0)]",positive
R00041,L0008,U0200,Stayed here for a week and loved every minute. Fenway-Kenmore has so much character. Great coffee shops nearby.,0.34888928571428574,"[('Kenmore', 0.0), ('Great coffee shops', 0.6249), ('Fenway-Kenmore has so much character.', 0.0), ('Great coffee shops nearby.', 0.6249), ('Stayed here for a week and loved every minute.', 0.5994), ('Fenway', 0.0), ('a week', 0.0), ('so much character', 0.0)]",positive
R00042,L0008,U0195,"Noisy, cramped, and overpriced. I expected much better based on the reviews. Would not book again.",0.14797894736842107,"[('Would not book again.', 0.0), ('I', 0.0), ('I expected much better based on the reviews.', 0.4404), ('Noisy, cramped, and overpriced.', -0.1779), ('the reviews', 0.0)]",positive
R00043,L0008,U0097,Fine for a short stay. The Air conditioning worked well but the street noise at night was noticeable.,0.10140357142857144,"[('The Air conditioning', 0.0), ('night', 0.0), ('a short stay', 0.0), ('the street noise', 0.0), ('Fine for a short stay.', 0.2023), ('The Air conditioning worked well but the street noise at night was noticeable.', 0.1406)]",positive
R00044,L0008,U0195,Fantastic place for a group getaway. The Air conditioning was a highlight and the neighborhood felt very safe.,0.4433466666666667,"[('Fantastic place for a group getaway.', 0.5574), ('The Air conditioning was a highlight and the neighborhood felt very safe.', 0.6801), ('a group getaway', 0.0), ('Fantastic place', 0.5574), ('the neighborhood', 0.0), ('The Air conditioning', 0.0), ('a highlight', 0.34)]",positive
R00045,L0008,U0195,Decent stay overall. Fenway-Kenmore is a great area but the listing could use some updating. Still decent value.,0.2887551724137931,"[('Kenmore', 0.0), ('a great area', 0.6249), ('Decent stay overall.', 0.0), ('Still decent value.', 0.34), ('Fenway-Kenmore is a great area but the listing could use some updating.', 0.3716), ('the listing', 0.0), ('Still decent value', 0.34), ('some updating', 0.0)]",positive
R00046,L0009,U0189,"Exactly as described. Clean, spacious, and the Dryer was a nice touch. Great value for San Francisco.",0.5251791666666666,"[('Clean, spacious, and the Dryer was a nice touch.', 0.6705), ('Great value for San Francisco.', 0.7579), ('Great value', 0.7579), ('San Francisco', 0.0), ('a nice touch', 0.4215), ('Exactly as described.', 0.0)]",positive
R00047,L0009,U0215,The space was immaculate and the location is unbeatable. Easy access to Fisherman's Wharf and great local dining.,0.34037586206896553,"[('great local dining', 0.6249), (""Easy access to Fisherman's Wharf and great local dining."", 0.7906), ('The space', 0.0), (""Fisherman's Wharf"", 0.0), ('The space was immaculate and the location is unbeatable.', 0.0), ('Easy access', 0.4404), ('the location', 0.0)]",positive
R00048,L0009,U0189,Spacious and well-maintained. Walking distance to Van Ness Muni and several great restaurants. Highly recommend for anyone visiting San Francisco.,0.3688133333333333,"[('Van Ness Muni', 0.0), ('Highly recommend for anyone visiting San Francisco.', 0.4201), ('several great restaurants', 0.6249), ('San Francisco', 0.0), ('Walking distance to Van Ness Muni and several great restaurants.', 0.6249), ('Spacious and well-maintained.', 0.0), ('anyone', 0.0), ('distance', 0.0)]",positive
R00049,L0009,U0215,The Dryer was great but the bathroom could use some work. Neighborhood is lively which is a plus and a minus.,0.2573212121212121,"[('Neighborhood', 0.0), ('some work', 0.0), ('a plus', 0.0), ('which', 0.0), ('Neighborhood is lively which is a plus and a minus.', 0.4404), ('The Dryer was great but the bathroom could use some work.', 0.3716), ('The Dryer', 0.0), ('a minus', 0.0), ('the bathroom', 0.0)]",positive
R00050,L0009,U0215,Amazing stay! We could walk to Fisherman's Wharf in under 15 minutes. The apartment had everything we needed.,0.08343448275862068,"[('The apartment had everything we needed.', 0.0), (""Fisherman's Wharf"", 0.0), ('Amazing stay', 0.5859), ('everything', 0.0), ('The apartment', 0.0), (""We could walk to Fisherman's Wharf in under 15 minutes."", 0.0), ('Amazing stay!', 0.6239), ('we', 0.0), ('We', 0.0), ('15 minutes', 0.0)]",positive
R00051,L0009,U0215,Decent stay overall. Pacific Heights is a great area but the listing could use some updating. Still decent value.,0.28211290322580646,"[('a great area', 0.6249), ('Decent stay overall.', 0.0), ('Still decent value.', 0.34), ('the listing', 0.0), ('Pacific Heights', 0.0), ('Pacific Heights is a great area but the listing could use some updating.', 0.3716), ('Still decent value', 0.34), ('some updating', 0.0)]",positive
R00052,L0009,U0215,Couldn't have asked for a better stay. The Dryer was perfect and Fisherman's Wharf was right around the corner.,0.40238571428571435,"[('a better stay', 0.4404), (""Fisherman's Wharf"", 0.0), (""The Dryer was perfect and Fisherman's Wharf was right around the corner."", 0.5719), ('the corner', 0.0), ('The Dryer', 0.0), (""Couldn't have asked for a better stay."", 0.4404)]",positive
R00053,L0010,U0222,Beautiful apartment in a great part of San Francisco. The host thought of everything. Five stars all around.,0.35451000000000005,"[('Five stars all around.', 0.0), ('The host thought of everything.', 0.0), ('The host', 0.0), ('everything', 0.0), ('Beautiful apartment', 0.5994), ('Beautiful apartment in a great part of San Francisco.', 0.8402), ('San Francisco', 0.0), ('a great part', 0.6249), ('Five stars', 0.0)]",positive
R00054,L0010,U0133,This was our second time booking this place and it was just as great. Love the Sunset District area.,0.39777,"[('Love the Sunset District area.', 0.6369), ('This was our second time booking this place and it was just as great.', 0.6249), ('our second time', 0.0), ('this place', 0.0), ('it', 0.0), ('the Sunset District area', 0.0), ('This', 0.0)]",positive
R00055,L0010,U0168,Loved this place! The neighborhood (Sunset District) was vibrant and walkable. Free parking made the stay so comfortable.,0.45999999999999996,"[('Sunset District', 0.0), ('Free parking made the stay so comfortable.', 0.8196), ('this place', 0.0), ('The neighborhood', 0.0), ('The neighborhood (Sunset District) was vibrant and walkable.', 0.5267), ('Loved this place!', 0.636), ('Free parking', 0.5106), ('the stay', 0.0)]",positive
R00056,L0011,U0092,Perfect for our leisure trip. Close to Chicago Riverwalk and the host was incredibly responsive. Highly recommend.,0.3291958333333333,"[('Chicago Riverwalk', 0.0), ('Close to Chicago Riverwalk and the host was incredibly responsive.', 0.4201), ('Perfect for our leisure trip.', 0.5719), ('the host', 0.0), ('our leisure trip', 0.0), ('Highly recommend.', 0.4201)]",positive
R00057,L0011,U0092,One of the best Airbnbs we have stayed at. The location near Jackson L made getting around so easy.,0.6281111111111111,"[('The location', 0.0), ('One of the best Airbnbs we have stayed at.', 0.6369), ('Jackson L', 0.5766), ('The location near Jackson L made getting around so easy.', 0.8163), ('the best Airbnbs', 0.6369), ('we', 0.0)]",positive
R00058,L0011,U0083,Host was unresponsive when we had an issue with the lock. Took over 4 hours to resolve. Frustrating experience.,0.017639999999999996,"[('the lock', 0.0), ('an issue', 0.0), ('Host', 0.0), ('over 4 hours', 0.0), ('Frustrating experience.', -0.4404), ('Host was unresponsive when we had an issue with the lock.', 0.0), ('Took over 4 hours to resolve.', 0.3818), ('Frustrating experience', -0.4404), ('we', 0.0)]",neutral
R00059,L0011,U0092,"Wonderful host, beautiful space in Loop. Loved having Hot tub available. Will be back!",0.5407684210526317,"[('beautiful space', 0.5994), ('Will be back!', 0.0), ('Loop', 0.0), ('Wonderful host, beautiful space in Loop.', 0.8225), ('Loved having Hot tub available.', 0.5994), ('Wonderful host', 0.5719)]",positive
R00060,L0011,U0092,Amazing stay! We could walk to Chicago Riverwalk in under 15 minutes. The apartment had everything we needed.,0.08343448275862068,"[('Chicago Riverwalk', 0.0), ('The apartment had everything we needed.', 0.0), ('Amazing stay', 0.5859), ('everything', 0.0), ('The apartment', 0.0), ('We could walk to Chicago Riverwalk in under 15 minutes.', 0.0), ('Amazing stay!', 0.6239), ('we', 0.0), ('We', 0.0), ('15 minutes', 0.0)]",positive
R00061,L0011,U0083,Solid place to stay for the price. Getting to Chicago Riverwalk took longer than expected but otherwise no complaints.,0.2700214285714286,"[('Chicago Riverwalk', 0.0), ('Solid place', 0.1531), ('the price', 0.0), ('Getting to Chicago Riverwalk took longer than expected but otherwise no complaints.', 0.438), ('otherwise no complaints', 0.3089), ('Solid place to stay for the price.', 0.1531)]",positive
R00062,L0012,U0086,"Exactly as described. Clean, spacious, and the Heating was a nice touch. Great value for Chicago.",0.5384727272727272,"[('Great value for Chicago.', 0.7579), ('Chicago', 0.0), ('Great value', 0.7579), ('Clean, spacious, and the Heating was a nice touch.', 0.6705), ('a nice touch', 0.4215), ('Exactly as described.', 0.0)]",positive
R00063,L0012,U0006,The place was clean and functional. Not as close to Navy Pier as I expected but transit was accessible.,0.096456,"[('transit', 0.0), ('Navy Pier', 0.0), ('I', 0.0), ('Not as close to Navy Pier as I expected but transit was accessible.', 0.0), ('The place was clean and functional.', 0.4019), ('The place', 0.0)]",positive
R00064,L0012,U0078,This was our second time booking this place and it was just as great. Love the Pilsen area.,0.40343571428571423,"[('This was our second time booking this place and it was just as great.', 0.6249), ('our second time', 0.0), ('this place', 0.0), ('the Pilsen area', 0.0), ('it', 0.0), ('Love the Pilsen area.', 0.6369), ('This', 0.0)]",positive
R00065,L0012,U0078,"Wonderful host, beautiful space in Pilsen. Loved having Heating available. Will be back!",0.509221052631579,"[('Heating', 0.0), ('beautiful space', 0.5994), ('Will be back!', 0.0), ('Pilsen', 0.0), ('Wonderful host, beautiful space in Pilsen.', 0.8225), ('Loved having Heating available.', 0.5994), ('Wonderful host', 0.5719)]",positive
R00066,L0012,U0086,Loved this place! The neighborhood (Pilsen) was vibrant and walkable. Heating made the stay so comfortable.,0.39357083333333337,"[('Heating made the stay so comfortable.', 0.6418), ('Heating', 0.0), ('this place', 0.0), ('The neighborhood', 0.0), ('Pilsen', 0.0), ('Loved this place!', 0.636), ('the stay', 0.0), ('The neighborhood (Pilsen) was vibrant and walkable.', 0.5267)]",positive
R00067,L0013,U0129,"Exactly as described. Clean, spacious, and the Free parking was a nice touch. Great value for New York.",0.5863428571428572,"[('Clean, spacious, and the Free parking was a nice touch.', 0.8316), ('Exactly as described.', 0.0), ('Great value', 0.7579), ('Great value for New York.', 0.7579), ('the Free parking', 0.5106), ('New York', 0.0), ('a nice touch', 0.4215)]",positive
R00068,L0013,U0186,"Exactly as described. Clean, spacious, and the Free parking was a nice touch. Great value for New York.",0.5863428571428572,"[('Clean, spacious, and the Free parking was a nice touch.', 0.8316), ('Exactly as described.', 0.0), ('Great value', 0.7579), ('Great value for New York.', 0.7579), ('the Free parking', 0.5106), ('New York', 0.0), ('a nice touch', 0.4215)]",positive
R00069,L0014,U0084,The listing description was misleading. Said walking distance to Wynwood Walls but it was over 30 minutes on foot.,-0.06482258064516129,"[('Said walking distance to Wynwood Walls but it was over 30 minutes on foot.', 0.0), ('The listing description was misleading.', -0.4019), ('Wynwood Walls', 0.0), ('over 30 minutes', 0.0), ('The listing description', 0.0), ('foot', 0.0), ('walking distance', 0.0), ('it', 0.0)]",negative
R00070,L0014,U0084,One of the best Airbnbs we have stayed at. The location near Douglas Road Metrorail made getting around so easy.,0.48267241379310344,"[('The location', 0.0), ('One of the best Airbnbs we have stayed at.', 0.6369), ('Douglas Road Metrorail', 0.0), ('The location near Douglas Road Metrorail made getting around so easy.', 0.5777), ('the best Airbnbs', 0.6369), ('we', 0.0)]",positive
R00071,L0014,U0147,Pretty good overall. Close to Douglas Road Metrorail which was essential. Would have liked more kitchen supplies.,0.19623749999999998,"[('Close to Douglas Road Metrorail which was essential.', 0.0), ('more kitchen supplies', 0.0), ('which', 0.0), ('Pretty good overall.', 0.7269), ('Douglas Road Metrorail', 0.0), ('Would have liked more kitchen supplies.', 0.4215)]",positive
R00072,L0015,U0025,Couldn't have asked for a better stay. The Dishwasher was perfect and Boston Common was right around the corner.,0.40238571428571435,"[('The Dishwasher was perfect and Boston Common was right around the corner.', 0.5719), ('a better stay', 0.4404), ('The Dishwasher', 0.0), ('Boston Common', 0.0), ('the corner', 0.0), (""Couldn't have asked for a better stay."", 0.4404)]",positive
R00073,L0015,U0210,Spacious and well-maintained. Walking distance to South Station and several great restaurants. Highly recommend for anyone visiting Boston.,0.3853615384615385,"[('Highly recommend for anyone visiting Boston.', 0.4201), ('Boston', 0.0), ('several great restaurants', 0.6249), ('Spacious and well-maintained.', 0.0), ('Walking distance to South Station and several great restaurants.', 0.6249), ('anyone', 0.0), ('South Station', 0.0), ('distance', 0.0)]",positive
R00074,L0015,U0189,Super cozy place with all the amenities you could want. Seaport is such a fun area to explore.,0.47648000000000007,"[('Super cozy place with all the amenities you could want.', 0.6369), ('Seaport is such a fun area to explore.', 0.5106), ('all the amenities', 0.0), ('Seaport', 0.0), ('such a fun area', 0.5106), ('you', 0.0), ('Super cozy place', 0.5994)]",positive
R00075,L0015,U0210,Spacious and well-maintained. Walking distance to South Station and several great restaurants. Highly recommend for anyone visiting Boston.,0.3853615384615385,"[('Highly recommend for anyone visiting Boston.', 0.4201), ('Boston', 0.0), ('several great restaurants', 0.6249), ('Spacious and well-maintained.', 0.0), ('Walking distance to South Station and several great restaurants.', 0.6249), ('anyone', 0.0), ('South Station', 0.0), ('distance', 0.0)]",positive
R00076,L0016,U0146,Loved this place! The neighborhood (South End) was vibrant and walkable. Patio made the stay so comfortable.,0.3835538461538462,"[('this place', 0.0), ('The neighborhood', 0.0), ('Patio', 0.0), ('The neighborhood (South End) was vibrant and walkable.', 0.5267), ('Loved this place!', 0.636), ('Patio made the stay so comfortable.', 0.6418), ('the stay', 0.0), ('South End', 0.0)]",positive
